# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 4: "Relative Prices of Various Commodities at Retail"
# Pages 451-468. Relative prices (index, first year quoted = 100).
#
# 556 series across 60 commodity blocks, each block a commodity quoted in a set of
# towns. Annual, 1860-1866. Blank cells are printed "..." in the source: most often
# a town whose series begins in 1861 rather than 1860.
#
# THE 1867 AND 1868 COLUMNS APPLY ONLY TO RENTS. Mitchell's note to the table: "In
# the case of rent figures are given for 1867 and 1868 for the purposes of Part II,
# chap. vi." Every other block stops at 1866, so those two columns are blank for all
# but the two rent blocks.
#
# Mitchell's note on the source: "The source of the following series of relative
# prices at retail is the report prepared by Mr. J. D. Weeks in 1880-83 and published
# as Vol. XX of the Tenth Census. Not all of the material supplied by Mr. Weeks,
# however, has been used, for he gives some series of prices at unspecified times of
# the year and others 'on or about June 1.' Those series 'showing average for the
# year' alone were used as the basis for the computations in the text, and they alone
# are given here."
#
# initial_price is Mitchell's "Initial Price" column, in the unit named by the unit
# column. Fractions are kept as printed, e.g. "0.08 1/3".
#
# TWO CELLS ARE LEFT BLANK BECAUSE THE PRINTING IS DEFECTIVE, not because the source
# has no figure. Both read as "1 9" or "1 3" with the middle digit missing:
#   Rent, four rooms, Indianapolis, 1865
#   Board per week for men, Philadelphia, 1864
# They are not guessed at. Consult a better copy of page 467 or 468 to fill them.
#
# Re-transcribed 17 September 2026 from the page images.
"Groceries: sugar, yellow C",per lb,Ohio,Springfield,.10,100,100,100,150,150,200,250,,
"Groceries: sugar, yellow C",per lb,Ohio,Zanesville,.10,100,100,150,200,200,250,200,,
"Groceries: sugar, yellow C",per lb,Ind,Lawrenceburg,.12,100,100,100,100,117,117,117,,
"Groceries: sugar, yellow C",per lb,Iowa,Cedar Rapids,.07,,100,129,129,157,157,200,,
"Groceries: sugar, yellow B",per lb,Pa,Philadelphia,0.08,,100,113,138,163,200,213,,
"Groceries: sugar, yellow B",per lb,W. Va,New Cumberland,.06,100,167,200,200,200,200,200,,
"Groceries: sugar, yellow B",per lb,Ohio,Canton,.11,100,73,114,145,227,182,136,,
"Groceries: sugar, yellow B",per lb,Ohio,Zanesville,.11,100,109,164,200,200,227,227,,
"Groceries: sugar, yellow B",per lb,Ind,Lawrenceburg,.11,100,100,100,100,109,109,109,,
"Groceries: sugar, yellow B",per lb,Iowa,Cedar Rapids,.08,,100,125,125,150,150,156,,
Groceries: beans,per quart,Mass,Boston,0.06,100,100,150,167,179,142,175,,
Groceries: beans,per quart,Conn,Jewett City,.06,100,117,133,167,167,150,133,,
Groceries: beans,per quart,Pa,Philadelphia,.06,,100,133,167,150,200,233,,
Groceries: beans,per quart,W. Va,New Cumberland,.07,100,143,171,171,171,171,171,,
Groceries: beans,per quart,Ohio,Canton,.05,100,80,100,160,200,200,160,,
Groceries: beans,per quart,Ohio,Springfield,.05,100,100,100,100,160,160,160,,
Groceries: beans,per quart,Ohio,Zanesville,.06 1/4,100,96,112,128,160,160,160,,
Groceries: beans,per quart,Ind,Lawrenceburg,.10,100,100,100,100,100,100,120,,
Groceries: beans,per quart,Iowa,Cedar Rapids,.10,,100,100,120,120,125,125,,
"Groceries: soap, common",per lb,Pa,Philadelphia,0.06,,100,117,133,150,167,167,,
"Groceries: soap, common",per lb,W. Va,New Cumberland,.06,100,117,133,133,133,117,117,,
"Groceries: soap, common",per lb,Ohio,Canton,.08,100,75,75,125,150,125,113,,
"Groceries: soap, common",per lb,Ohio,Springfield,.05,100,120,160,160,160,160,160,,
"Groceries: soap, common",per lb,Ohio,Zanesville,.05,100,100,120,200,200,200,200,,
"Groceries: soap, common",per lb,Ind,Lawrenceburg,.12,100,67,83,125,125,125,125,,
"Groceries: soap, common",per lb,Iowa,Cedar Rapids,.04,,100,100,100,150,250,375,,
"Groceries: sugar, good brown",per lb,Mass,Boston,0.06 15/16,100,99,133,175,266,225,183,,
"Groceries: sugar, good brown",per lb,N. J.,Jersey City,.08,100,100,113,175,250,263,300,,
"Groceries: sugar, good brown",per lb,Pa,Norristown,.07,100,100,114,157,314,186,186,,
"Groceries: sugar, good brown",per lb,Pa,Philadelphia,.06,,100,117,150,183,233,250,,
"Groceries: sugar, good brown",per lb,Md,Baltimore,.08,100,88,125,156,250,188,175,,
"Groceries: sugar, good brown",per lb,W. Va,New Cumberland,.06,100,167,200,200,200,200,200,,
"Groceries: sugar, good brown",per lb,Ohio,Canton,.08,100,75,100,150,250,250,225,,
"Groceries: sugar, good brown",per lb,Ohio,Springfield,.09,100,89,89,111,122,167,200,,
