# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 2: "Relative Prices of Various Commodities at Wholesale"
# Pages 435-448. Relative prices (index, 1860 average = 100).
#
# Quarterly, January/April/July/October, 1860-1865. 122 series, 2,928 cells, of
# which 36 are printed "...." and left blank.
#
# Mitchell lays the table out in blocks of six columns across fourteen pages, each
# block covering part of the date range; they share one date index and are merged
# here. Column names are commodity plus grade or description, as printed.
#
# TWO COLUMNS ARE NOT QUOTED IN THE HEADING MONTHS. Mitchell prints a month against
# each figure for fish_cod and meat_beef_loins: they are quoted in February, May,
# August and November rather than January, April, July and October. The values sit on
# the row of the quarter they belong to, as in the source, but they are one month
# later than every other column.
#
# Re-transcribed 17 September 2026 from the page images, replacing a version in which
# 35 of the 72 cells on page 446 were wrong. See FINDINGS_TRANSCRIPTION.md.
#
# DERIVED from ../mitchell_appendix_b_table2_wholesale_prices.csv by analysis/03_build_tidy.py. Do not edit.
date,commodity,relative_price
1860-10,shirtings_bleached_4_4_ny_mills,100.0
1860-10,shovels,100.0
1860-10,silk_raw_italian,100.0
1860-10,soap_castile,108.8
1860-10,soda_ash,89.5
1860-10,spelter_imported,95.2
1860-10,spices_nutmegs,100.0
1860-10,spices_pepper_whole_sumatra,101.5
1860-10,spruce_boards,100.0
1860-10,starch_corn,100.0
1860-10,starch_ontario,100.0
1860-10,starch_pearl,100.0
1860-10,starch_pure,100.0
1860-10,starch_refined,100.0
1860-10,starch_silver_gloss,100.0
1860-10,sugar_fair_refining,86.2
1860-10,sugar_havana_brown,91.4
1860-10,sugar_of_lead_brown,100.0
1860-10,sugar_of_lead_white,95.7
1860-10,sugar_refined_crushed_and_granulated,93.8
1860-10,sulphuric_acid,100.0
1860-10,tallow_prime_city_in_hhds,97.6
1860-10,tickings,100.0
1860-10,tin_plates_ic_coke,96.5
1860-10,tubs_wooden_1,100.0
1860-10,tubs_wooden_2,100.0
1860-10,tubs_wooden_3,89.7
1860-10,tubs_wooden_4,88.9
1860-10,turpentine,105.0
1860-10,vegetables_fresh_potatoes_white_1,100.0
1860-10,vegetables_fresh_potatoes_white_2,100.0
1860-10,window_glass_american_10x14_firsts,100.0
1860-10,window_glass_american_10x14_thirds,100.0
1860-10,window_glass_french_10x14_firsts,100.0
1860-10,window_glass_french_10x14_thirds,100.0
1860-10,wood_screws_1_inch_no_10_flat_head_iron,116.7
1860-10,zinc_imported_sheet,96.4
1861-01,alcohol,74.1
1861-01,alum,94.4
1861-01,beans,100.0
1861-01,bichromate_of_potash,100.0
1861-01,blue_vitriol,94.7
1861-01,bread_boston_crackers_1,107.1
1861-01,bread_boston_crackers_2,117.6
1861-01,bread_boston_crackers_extra_grade,116.7
1861-01,brick,102.8
1861-01,brimstone,133.3
1861-01,butter,81.0
1861-01,butts_loose_joint_cast_3x3_inch,89.5
1861-01,calico,100.0
1861-01,candles,96.3
1861-01,carpets_brussels,92.3
1861-01,carpets_ingrain,101.4
1861-01,carpets_wilton,97.3
1861-01,castor_oil,95.2
1861-01,cement_rosendale,100.0
1861-01,cheese,100.0
1861-01,chestnut_lumber_in_the_log,104.2
1861-01,coal_anthracite_chestnut,98.4
1861-01,coal_anthracite_egg,105.3
1861-01,coal_anthracite_grate,116.2
1861-01,coal_anthracite_stove,116.7
1861-01,coal_bituminous,108.0
1861-01,coffee_rio_fair,100.0
1861-01,copper_ingot,80.9
1861-01,copper_sheet,100.0
1861-01,copperas,125.0
1861-01,cotton_upland_middling,109.1
1861-01,denims,103.5
1861-01,drillings_30_inch_pepperell,97.2
1861-01,eggs,103.2
1861-01,fish_cod,125.0
1861-01,flax_seed,89.0
1861-01,flour_rye,92.5
1861-01,fruit_apples_dried,77.4
1861-01,fruit_currants_zante,75.0
1861-01,fruit_raisins,89.1
1861-01,furniture_chairs_bed_room,80.0
1861-01,furniture_chairs_kitchen,100.0
1861-01,furniture_tables_kitchen,100.0
1861-01,hemlock_lumber_in_the_log,133.3
1861-01,iron_wire,100.0
