# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 4: "Relative Prices of Various Commodities at Retail"
# Pages 451-468. Relative prices (index, base=100).
# Initial prices are in the units specified in the original table (per yard, per lb, per gallon, etc.)
category,item,state,town,initial_price,1860,1861,1862,1863,1864,1865,1866
Groceries,"Tea (Oolong, or other good black)",Md.,Baltimore,0.60,100,125,167,167,200,250,208
Groceries,"Tea (Oolong, or other good black)",W. Va.,New Cumberland,0.50,100,120,180,180,180,190
Groceries,"Tea (Oolong, or other good black)",Ohio,Canton,1.00,100,100,125,150,200,240,190
Groceries,"Tea (Oolong, or other good black)",Ohio,Springfield,0.60,100,100,100,250,333,333,203
Groceries,"Tea (Oolong, or other good black)",Ohio,Zanesville,0.925,100,97,97,122,135,149,125
Groceries,"Tea (Oolong, or other good black)",Ind.,Lawrenceburg,1.00,,100,90,100,120,100,125
Groceries,"Tea (Oolong, or other good black)",Iowa,Cedar Rapids,0.30,,100,233,467,533,607,607
Groceries,Starch,Pa.,Philadelphia,0.07,100,100,114,143,171,200,200
Groceries,Starch,W. Va.,New Cumberland,0.07,100,100,100,114,114,114
Groceries,Starch,Ohio,Canton,0.10,100,100,125,125,150,125,100
Groceries,Starch,Ohio,Springfield,0.05,100,100,100,100,200,240,250
Groceries,Starch,Ohio,Zanesville,0.08,100,125,125,125,188,188,188
Groceries,Starch,Ind.,Lawrenceburg,0.10,100,80,100,120,100,100,100
Groceries,Starch,Iowa,Cedar Rapids,0.05,,100,100,110,200,300,300
Provisions,Beef (Corned),Mass.,Boston,0.0775,100,97,133,164,200,194
Provisions,Beef (Corned),Conn.,Jewett City,0.08,100,100,88,98,154,150,188
Provisions,Beef (Corned),Conn.,New London,0.10,100,110,110,140,140,140
Provisions,Beef (Corned),N.J.,Camden,0.08,100,100,100,125,175,225
Provisions,Beef (Corned),Pa.,Philadelphia,0.08,,100,100,111,133,156,167
Provisions,Beef (Corned),W. Va.,New Cumberland,0.08,100,100,125,125,125,125,125
Provisions,Beef (Corned),Ohio,Canton,0.06,100,100,133,167,228,200,163
Provisions,Beef (Corned),Ohio,Springfield,0.065,100,92,100,92,122,123,123
Provisions,Beef (Corned),Ohio,Zanesville,0.08,100,100,100,125,125,125,125
Provisions,Beef (Corned),Ind.,Evansville,0.10,,100,100,100,125,125,125
Provisions,"Beef (Fresh, roasting pieces)",Mass.,Boston,0.115,100,100,100,130,166,207,211
Provisions,"Beef (Fresh, roasting pieces)",Conn.,New London,0.13,100,100,125,138,158,100,169
Provisions,"Beef (Fresh, roasting pieces)",N.J.,Camden,0.14,100,100,100,114,179,250,250
Provisions,"Beef (Fresh, roasting pieces)",Pa.,Philadelphia,0.10,100,100,120,140,140,180
Provisions,"Beef (Fresh, roasting pieces)",W. Va.,New Cumberland,0.08,100,100,120,150,150,150,150
Provisions,"Beef (Fresh, roasting pieces)",Ohio,Canton,0.08,100,125,156,188,156,156
Provisions,"Beef (Fresh, roasting pieces)",Ohio,Springfield,0.065,100,100,91,94,147,147
Provisions,"Beef (Fresh, roasting pieces)",Ohio,Zanesville,0.06,100,100,100,111,111,111,111
Provisions,"Beef (Fresh, roasting pieces)",Ind.,Evansville,0.075,,100,100,167,200,200,200
Provisions,"Beef (Fresh, rump steaks)",Conn.,New London,0.11,100,109,100,127,145,164,164
Provisions,"Beef (Fresh, rump steaks)",N.J.,Camden,0.12,100,102,104,133,258,250,250
Provisions,"Beef (Fresh, rump steaks)",Pa.,Philadelphia,0.14,100,100,107,114,143,150,170
Provisions,"Beef (Fresh, rump steaks)",W. Va.,New Cumberland,0.10,100,140,140,140,140,140
Provisions,"Beef (Fresh, rump steaks)",Ohio,Canton,0.10,100,100,125,100,150,150,150
Provisions,"Beef (Fresh, rump steaks)",Ohio,Springfield,0.10,100,100,100,100,150,150,150
Provisions,"Beef (Fresh, rump steaks)",Ohio,Zanesville,0.11,100,91,91,109,100,109,109
Provisions,"Beef (Fresh, rump steaks)",Ind.,Evansville,0.075,,100,100,167,200,200,200
Provisions,"Beef (Fresh, soup-pieces)",Conn.,New London,0.055,100,127,127,164,164,164,164
Provisions,"Beef (Fresh, soup-pieces)",N.J.,Camden,0.08,100,100,100,175,200,200
Provisions,"Beef (Fresh, soup-pieces)",Pa.,Philadelphia,0.07,,100,100,114,129,171,171
Provisions,"Beef (Fresh, soup-pieces)",W. Va.,New Cumberland,0.03,100,100,233,233,200,200,150
Provisions,"Beef (Fresh, soup-pieces)",Ohio,Canton,0.04,100,100,125,150,200,150
Provisions,"Beef (Fresh, soup-pieces)",Ohio,Springfield,0.05,100,80,80,86,143,143,143
Provisions,"Beef (Fresh, soup-pieces)",Ohio,Zanesville,0.06,100,100,100,100,117,117,167
Provisions,"Beef (Fresh, soup-pieces)",Ind.,Evansville,0.06,,100,100,,167,167,167
Provisions,Butter,Mass.,Boston,0.23,100,86,90,106,159,183,199
Provisions,Butter,Conn.,Jewett City,0.23,100,96,91,109,122,143,136
Provisions,Butter,Pa.,Philadelphia,0.29,100,100,110,120,125,150,181
Provisions,Butter,W. Va.,New Cumberland,0.16,100,125,125,125,125,125
Provisions,Butter,Ohio,Canton,0.12,100,67,83,150,333,292,292
Provisions,Butter,Ohio,Springfield,0.10,100,80,80,100,130,250,330
Provisions,Butter,Ohio,Zanesville,0.13,100,96,115,115,231,254,254
Provisions,Butter,Ind.,Lawrenceburg,0.30,100,83,100,83,117,150,100
Provisions,Butter,Iowa,Cedar Rapids,0.08,,100,200,250,333,417,333
Provisions,Cheese,Mass.,Boston,0.115,100,87,80,117,149,168,100
Provisions,Cheese,Conn.,Jewett City,0.13,100,77,69,92,123,154,177
Provisions,Cheese,Pa.,Philadelphia,0.12,100,100,125,167,298,298
Provisions,Cheese,W. Va.,New Cumberland,0.11,100,136,136,136,136,136,145
Provisions,Cheese,Ohio,Canton,0.10,100,60,100,80,100,250,200
Provisions,Cheese,Ohio,Springfield,0.08,100,100,100,100,125,150,163
Provisions,Cheese,Ohio,Zanesville,0.125,100,80,80,120,168,140,200
Provisions,Cheese,Ind.,Lawrenceburg,0.18,100,67,83,83,111,150,81
Provisions,Cheese,Iowa,Cedar Rapids,0.10,,100,120,150,250,290,280
Provisions,Eggs,Mass.,Boston,0.185,100,87,92,110,144,185,169
Provisions,Eggs,Conn.,Jewett City,0.17,100,82,88,100,133,178,160
Provisions,Eggs,Pa.,Philadelphia,0.18,100,100,100,111,117,128,144
Provisions,Eggs,W. Va.,New Cumberland,0.10,100,120,140,140,140,140,120
Provisions,Eggs,Ohio,Canton,0.10,100,60,100,120,160,100,100
Provisions,Eggs,Ohio,Springfield,0.07,100,143,143,171,186,214,225
Provisions,Eggs,Ohio,Zanesville,0.15,100,40,67,67,100,100,100
Provisions,Eggs,Ind.,Lawrenceburg,0.20,100,100,100,75,75,150,150
Provisions,Eggs,Iowa,Cedar Rapids,0.05,,100,100,200,200,300,300
Provisions,Corn Meal,Mass.,Boston,4.87,100,62,70,97,146,132,101
Provisions,Corn Meal,Conn.,Jewett City,3.92,100,75,75,75,130,150,100
Provisions,Corn Meal,Pa.,Philadelphia,3.00,,100,100,188,133,200,200
Provisions,Corn Meal,W. Va.,New Cumberland,1.50,100,133,150,167,167,167,167
Provisions,Corn Meal,Ohio,Canton,5.00,100,100,117,160,200,204,117
Provisions,Corn Meal,Ohio,Springfield,2.25,100,156,156,156,222,267,356
Provisions,Corn Meal,Ohio,Zanesville,2.25,100,133,133,178,200,200,200
Provisions,Corn Meal,Ind.,Lawrenceburg,0.70,100,114,129,143,150,157,143
Provisions,Corn Meal,Iowa,Cedar Rapids,1.50,100,100,123,200,200,233,233
Provisions,Flour (Rye),Conn.,Jewett City,7.50,100,83,97,107,137,157,173
Provisions,Flour (Rye),Pa.,Philadelphia,5.50,100,100,100,107,138,185,192
Provisions,Flour (Rye),Md.,Baltimore,6.00,100,104,129,125,175,167,188
Provisions,Flour (Rye),W. Va.,New Cumberland,5.75,100,100,133,147,167,167,156
Provisions,Flour (Rye),Ohio,Canton,5.75,,100,96,104,113,148,122
Provisions,Flour (Rye),Ohio,Springfield,3.50,100,129,114,111,200,257,286
Provisions,Flour (Rye),Ohio,Zanesville,4.25,100,94,84,100,165,170,188
